,extension,id,plane_tags,tags
10,jpg,11,"パァァァァ,吉田覚,『働かないふたり』,（石井春子）","パァァァァ,吉田覚,『働かないふたり』,（石井春子）"
11,jpg,12,"ぱぁぁぁ,久保ミツロウ,『アゲイン!!』,（宇佐美良子）","ぱぁぁぁ,久保ミツロウ,『アゲイン!!』,（宇佐美良子）"
12,jpg,13,"うひゃ～,あっと,『のんのんびより』,（一条蛍）","うひゃ～,あっと,『のんのんびより』,（一条蛍）"
13,jpg,14,"ほんとに！？（パァァァァ）,あっと,『のんのんびより』,越谷小鞠","ほんとに！？（パァァァァ）,あっと,『のんのんびより』,越谷小鞠"
14,jpg,15,".｡ﾟ+.(･∀･)ﾟ+.ﾟ,菅野マナミ,『ひまわりさん』,（ひまわりさん）",".｡ﾟ+.(･∀･)ﾟ+.ﾟ,菅野マナミ,『ひまわりさん』,（ひまわりさん）"
15,jpg,16,"キター＼(^O^)／,篠原健太,『SKET,DANCE』,（ボッスン/藤崎佑助）","キター＼(^O^)／,篠原健太,『SKET,DANCE』,（ボッスン/藤崎佑助）"
16,jpg,17,"…どうしよう!!,夢みたい…!!!,古味直志,『ニセコイ』,（小野寺小咲）","…どうしよう!!,夢みたい…!!!,古味直志,『ニセコイ』,（小野寺小咲）"
17,jpg,18,"うう…心臓破裂しちゃうかと思ったよう…,たかみ裕紀,『ロウきゅーぶ！』,（湊智花）","うう…心臓破裂しちゃうかと思ったよう…,たかみ裕紀,『ロウきゅーぶ！』,（湊智花）"
18,jpg,19,"ウオオオオオオオ！イェス、イェス、イェスッ！！,青稀シン,『あねちゅう！溺愛悶絶美奈子さん』,（美奈子）","ウオオオオオオオ！イェス、イェス、イェスッ！！,青稀シン,『あねちゅう！溺愛悶絶美奈子さん』,（美奈子）"
19,jpg,20,"やったぁ～！！,北条司,『エンジェル・ハート』,（劉,信宏＆ミキ）","やったぁ～！！,北条司,『エンジェル・ハート』,（劉,信宏＆ミキ）"
20,jpg,21,"やった・・・！やった！！,北崎拓,『さくらんぼシンドローム,クピドの悪戯Ⅱ』,（麻生沙也子）","やった・・・！やった！！,北崎拓,『さくらんぼシンドローム,クピドの悪戯Ⅱ』,（麻生沙也子）"
21,jpg,22,"ほわぁ…,柊暁生,『はたらく魔王さま！』,（遊佐恵美/エミリア・ユスティーナ）","ほわぁ…,柊暁生,『はたらく魔王さま！』,（遊佐恵美/エミリア・ユスティーナ）"
22,jpg,23,"バンザーイ！！バンザーイ！！,ヒロユキ,『マンガ家さんとアシスタントさんと』,（音砂みはり＆愛徒勇気）","バンザーイ！！バンザーイ！！,ヒロユキ,『マンガ家さんとアシスタントさんと』,（音砂みはり＆愛徒勇気）"
23,jpg,24,"うん、満足！,ヒロユキ,『マンガ家さんとアシスタントさんと』,（皆野まとめ）","うん、満足！,ヒロユキ,『マンガ家さんとアシスタントさんと』,（皆野まとめ）"
24,jpg,25,"ひゃほ～っ,鳥山明,『ドラゴンボール』,（魔人ブウ）","ひゃほ～っ,鳥山明,『ドラゴンボール』,（魔人ブウ）"
25,jpg,26,"天にも昇る心地,古味直志,『ニセコイ』,（小野寺小咲）","天にも昇る心地,古味直志,『ニセコイ』,（小野寺小咲）"
26,jpg,27,"あたし今、ハイパーリア充です！,幸田もも子,『ヒロイン失格』,（松崎はとり）","あたし今、ハイパーリア充です！,幸田もも子,『ヒロイン失格』,（松崎はとり）"
27,jpg,28,"ホントによかった…,ヒロユキ,『マンガ家さんとアシスタントさんと』,（愛徒勇気）","ホントによかった…,ヒロユキ,『マンガ家さんとアシスタントさんと』,（愛徒勇気）"
28,jpg,29,"私、きっと、幸せ者なのよ,北崎拓,『さくらんぼシンドローム,クピドの悪戯Ⅱ』,（天海玲菜）","私、きっと、幸せ者なのよ,北崎拓,『さくらんぼシンドローム,クピドの悪戯Ⅱ』,（天海玲菜）"
29,jpg,30,"お…おほー！なにこれ気分いいー！,なもり,『ゆるゆり』,（大室櫻子）","お…おほー！なにこれ気分いいー！,なもり,『ゆるゆり』,（大室櫻子）"
30,jpg,31,"やりました！！やりましたわ～！！遂に…！私の時代が来たんですわ～！！,古味直志,『ニセコイ』,（橘万里花）","やりました！！やりましたわ～！！遂に…！私の時代が来たんですわ～！！,古味直志,『ニセコイ』,（橘万里花）"
31,jpg,32,"嬉し涙,中原アヤ,『ラブ★コン』,（小泉リサ）","嬉し涙,中原アヤ,『ラブ★コン』,（小泉リサ）"
32,jpg,33,"ホゥ…,なもり,『ゆるゆり』,（赤座あかね）","ホゥ…,なもり,『ゆるゆり』,（赤座あかね）"
33,jpg,34,"かっ,神さまがごほうびを━━━━!!","かっ,神さまがごほうびを━━━━!!"
34,jpg,35,"ニヨニヨ,イトカツ,『ももそら』,（モモ）","ニヨニヨ,イトカツ,『ももそら』,（モモ）"
35,jpg,36,"どうしよう,どうしてもニヤニヤしちゃう,古味直志,『ニセコイ』,（小野寺小咲）","どうしよう,どうしてもニヤニヤしちゃう,古味直志,『ニセコイ』,（小野寺小咲）"
36,jpg,37,"満面の笑み,古味直志,『ニセコイ』,（舞子集）","満面の笑み,古味直志,『ニセコイ』,（舞子集）"
37,jpg,38,"わくわくしてきた,鳥山明,『ドラゴンボール』,（孫悟空）","わくわくしてきた,鳥山明,『ドラゴンボール』,（孫悟空）"
38,jpg,39,"やっばい、楽しい…っ！！,小林立,『咲-Saki-』,（竹井久）","やっばい、楽しい…っ！！,小林立,『咲-Saki-』,（竹井久）"
39,jpg,40,"おもしろそう！,なもり,『ゆるゆり』,（歳納京子）","おもしろそう！,なもり,『ゆるゆり』,（歳納京子）"
40,jpg,41,"いい人生じゃったァ,篠原健太,『SKET,DANCE』,（ボッスン/藤崎佑助）※チュウさんこと、中馬鉄治先生の薬で老化してます。","いい人生じゃったァ,篠原健太,『SKET,DANCE』,（ボッスン/藤崎佑助）※チュウさんこと、中馬鉄治先生の薬で老化してます。"
41,jpg,42,"うれしい,タアモ,『たいようのいえ』,（杉本さん）","うれしい,タアモ,『たいようのいえ』,（杉本さん）"
42,jpg,43,"ニッポン、サイコー,イトカツ,『銀のニーナ』,（ニーナ）","ニッポン、サイコー,イトカツ,『銀のニーナ』,（ニーナ）"
43,jpg,44,"これで私も大人の女,大武政夫,『ヒナまつり』,（ヒナ）","これで私も大人の女,大武政夫,『ヒナまつり』,（ヒナ）"
44,jpg,45,"チャーンス！！大チャンス！！,西森博之,『お茶にごす。』,（山田航）","チャーンス！！大チャンス！！,西森博之,『お茶にごす。』,（山田航）"
45,jpg,46,"よっ、幼女キターッ！？,梶谷きり,『アウトブレイク・カンパニー,萌える侵略者』,（加納慎一）","よっ、幼女キターッ！？,梶谷きり,『アウトブレイク・カンパニー,萌える侵略者』,（加納慎一）"
46,jpg,47,"人から愛されるって…いいもんだぞ？,えのきづ,『琴浦さん』,（真鍋義久）","人から愛されるって…いいもんだぞ？,えのきづ,『琴浦さん』,（真鍋義久）"
47,jpg,48,"チャンス到来…！,美内すずえ,『ガラスの仮面』,（乙部のりえ）","チャンス到来…！,美内すずえ,『ガラスの仮面』,（乙部のりえ）"
48,jpg,49,すごくいい…,すごくいい…
49,jpg,50,ぱぁー,ぱぁー
50,jpg,51,"わ、わああ！！,北崎拓,『このSを、見よ!,クピドの悪戯』","わ、わああ！！,北崎拓,『このSを、見よ!,クピドの悪戯』"
51,jpg,52,"ブプー！！！（いや何も面白ぇ事言ってねぇけど！！？）,古味直志,『ニセコイ』,（橘万里花）","ブプー！！！（いや何も面白ぇ事言ってねぇけど！！？）,古味直志,『ニセコイ』,（橘万里花）"
52,jpg,53,"うわーっ、爆笑している！,森田まさのり,『ROOKIES』,（川藤幸一＆御子柴徹）","うわーっ、爆笑している！,森田まさのり,『ROOKIES』,（川藤幸一＆御子柴徹）"
53,jpg,54,"ウヒャヒャ、ゲラゲラ,藤子・F・不二雄,『ドラえもん』,（ジャイアン＆スネ夫）","ウヒャヒャ、ゲラゲラ,藤子・F・不二雄,『ドラえもん』,（ジャイアン＆スネ夫）"
54,jpg,55,"はーっはっはっは！！おもしろいジョーダンだ！！,鳥山明,『ドラゴンボール』,（ベジータ）","はーっはっはっは！！おもしろいジョーダンだ！！,鳥山明,『ドラゴンボール』,（ベジータ）"
55,jpg,56,"あはははははは！！あっはははっ！！！,西森博之,『お茶にごす。』,（浅川夏帆）","あはははははは！！あっはははっ！！！,西森博之,『お茶にごす。』,（浅川夏帆）"
56,jpg,57,"プルプル（笑いをこらえている）,春野友矢,『ディーふらぐ！』,（高尾部長）","プルプル（笑いをこらえている）,春野友矢,『ディーふらぐ！』,（高尾部長）"
57,jpg,58,"ハンッ！（鼻で笑う）,古味直志,『ニセコイ』,（桐崎千棘）","ハンッ！（鼻で笑う）,古味直志,『ニセコイ』,（桐崎千棘）"
58,jpg,59,"にやり,さだうおじ,『ぼくのすきなせんせえ』","にやり,さだうおじ,『ぼくのすきなせんせえ』"
59,jpg,60,"にやり,中原アヤ,『ラブ★コン』,（深川遥）","にやり,中原アヤ,『ラブ★コン』,（深川遥）"
60,jpg,61,"ニヤリ,大武政夫,『ヒナまつり』,（詩子さん）","ニヤリ,大武政夫,『ヒナまつり』,（詩子さん）"
61,jpg,62,"にやり,ヨシノサツキ,『ばらかもん』,（先生/半田清舟）","にやり,ヨシノサツキ,『ばらかもん』,（先生/半田清舟）"
62,jpg,63,"ニヤリ！,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（材木座義輝）","ニヤリ！,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（材木座義輝）"
63,jpg,64,"ニヤリ・・・,古味直志,『ニセコイ』,（小野寺小春）","ニヤリ・・・,古味直志,『ニセコイ』,（小野寺小春）"
64,jpg,65,"えー♥,高城計,『機巧少女は傷つかない』,（シャルロット・ブリュー）","えー♥,高城計,『機巧少女は傷つかない』,（シャルロット・ブリュー）"
65,jpg,66,"まあ,中原アヤ,『ラブ★コン』,（小泉リサ）","まあ,中原アヤ,『ラブ★コン』,（小泉リサ）"
66,jpg,67,"ニヤ・・・・・・,小花美穂,『こどものおもちゃ』,（倉田紗南）","ニヤ・・・・・・,小花美穂,『こどものおもちゃ』,（倉田紗南）"
67,jpg,68,"にや,中原アヤ,『ラブ★コン』,（小泉リサ）","にや,中原アヤ,『ラブ★コン』,（小泉リサ）"
68,jpg,69,"ニタァ,鈴見敦,『東京レイヴンズ』,（大連寺鈴鹿）","ニタァ,鈴見敦,『東京レイヴンズ』,（大連寺鈴鹿）"
69,jpg,70,"くすっ,宮原るり,『恋愛ラボ』,（真木夏緒）","くすっ,宮原るり,『恋愛ラボ』,（真木夏緒）"
70,jpg,71,"・・・・・ふ,鈴見敦,『東京レイヴンズ』,（土御門夏目）","・・・・・ふ,鈴見敦,『東京レイヴンズ』,（土御門夏目）"
71,jpg,72,"計画通り,大場つぐみ×小畑健,『DEATH,NOTE』,（夜神月）","計画通り,大場つぐみ×小畑健,『DEATH,NOTE』,（夜神月）"
72,jpg,73,テヘリン♥,テヘリン♥
73,jpg,74,てへぺろ,てへぺろ
74,jpg,75,"テヘ♥,古味直志,『ニセコイ』,（橘万里花）","テヘ♥,古味直志,『ニセコイ』,（橘万里花）"
75,jpg,76,"……てへ♥,ヒロユキ,『アホガール』","……てへ♥,ヒロユキ,『アホガール』"
76,jpg,77,OH・・・ファンタスティック・・・,OH・・・ファンタスティック・・・
77,jpg,78,"てへへっ☆,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（比企谷小町）","てへへっ☆,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（比企谷小町）"
78,jpg,79,"きらーん,久保ミツロウ,『アゲイン!!』,（藤枝暁）","きらーん,久保ミツロウ,『アゲイン!!』,（藤枝暁）"
79,jpg,80,"あへへへへへへ♥,青稀シン,『あねちゅう！溺愛悶絶美奈子さん』,（美奈子）","あへへへへへへ♥,青稀シン,『あねちゅう！溺愛悶絶美奈子さん』,（美奈子）"
80,jpg,81,"・・・・・・・・・（ドキドキドキ）,北崎拓,『このSを、見よ！クピドの悪戯』,（泉宮千鶴）","・・・・・・・・・（ドキドキドキ）,北崎拓,『このSを、見よ！クピドの悪戯』,（泉宮千鶴）"
81,jpg,82,"ドッドッドッ,北崎拓,『このSを、見よ！クピドの悪戯』,（斑鳩真琴）","ドッドッドッ,北崎拓,『このSを、見よ！クピドの悪戯』,（斑鳩真琴）"
82,jpg,83,"ポッ,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（比企谷八幡）","ポッ,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（比企谷八幡）"
83,jpg,84,"・・・・・・・ボンっ,えのきづ,『琴浦さん』,（琴浦春香）","・・・・・・・ボンっ,えのきづ,『琴浦さん』,（琴浦春香）"
84,jpg,85,"…え？（照）,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（由比ヶ浜結衣）","…え？（照）,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（由比ヶ浜結衣）"
85,jpg,86,"・・・・・・・・・・・！！,北崎拓,『このSを、見よ！クピドの悪戯』,（斑鳩真琴）","・・・・・・・・・・・！！,北崎拓,『このSを、見よ！クピドの悪戯』,（斑鳩真琴）"
86,jpg,87,"キューン,北崎拓,『このSを、見よ！クピドの悪戯』,（泉宮千鶴）","キューン,北崎拓,『このSを、見よ！クピドの悪戯』,（泉宮千鶴）"
87,jpg,88,"てれてれ,北崎拓,『このSを、見よ！クピドの悪戯』,（鷲尾崇子）","てれてれ,北崎拓,『このSを、見よ！クピドの悪戯』,（鷲尾崇子）"
88,jpg,89,"キュン・・・♥,古味直志,『ニセコイ』,（桐崎千棘）","キュン・・・♥,古味直志,『ニセコイ』,（桐崎千棘）"
89,jpg,90,"かぁっ（照）,小花美穂,『こどものおもちゃ』,（羽山秋人）","かぁっ（照）,小花美穂,『こどものおもちゃ』,（羽山秋人）"
90,jpg,91,"かあぁぁぁぁ（照）,鈴見敦,『東京レイヴンズ』,（土御門夏目）","かあぁぁぁぁ（照）,鈴見敦,『東京レイヴンズ』,（土御門夏目）"
91,jpg,92,"えっ（照）,中原アヤ,『ラブ★コン』,（小泉リサ）","えっ（照）,中原アヤ,『ラブ★コン』,（小泉リサ）"
92,jpg,93,"カァァァァァ…（照）,古味直志,『ニセコイ』,（鶫誠士郎）","カァァァァァ…（照）,古味直志,『ニセコイ』,（鶫誠士郎）"
93,jpg,94,"ぎゃっはっはっはっ！あーっはっはっはっ！,森田まさのり,『べしゃり暮らし』,（上妻圭右）","ぎゃっはっはっはっ！あーっはっはっはっ！,森田まさのり,『べしゃり暮らし』,（上妻圭右）"
94,jpg,95,"かぁ…（照）,なもり,『ゆるゆり』,（松本りせ）","かぁ…（照）,なもり,『ゆるゆり』,（松本りせ）"
95,jpg,96,"かー（照）,原悠衣,『きんいろモザイク』,（小路綾）","かー（照）,原悠衣,『きんいろモザイク』,（小路綾）"
96,jpg,97,"やだ私ったら・・・っ、ハズかしいっ♥,宮原るり,『恋愛ラボ,』,（倉橋莉子）","やだ私ったら・・・っ、ハズかしいっ♥,宮原るり,『恋愛ラボ,』,（倉橋莉子）"
97,jpg,98,もっ、もう！恥ずかしいこと言わないで！！ばかっ,もっ、もう！恥ずかしいこと言わないで！！ばかっ
98,jpg,99,やだこの子、なんてこと言うの？,やだこの子、なんてこと言うの？
99,jpg,100,"は・・・・・・はずかしいいいい,山内泰延,『男子高校生の日常』,（モトハル）","は・・・・・・はずかしいいいい,山内泰延,『男子高校生の日常』,（モトハル）"
100,jpg,101,"やめて・・・！すごい恥ずかしいよおおお,大武政夫,『ヒナまつり』,（新田義史）","やめて・・・！すごい恥ずかしいよおおお,大武政夫,『ヒナまつり』,（新田義史）"
101,jpg,102,"優しい・・・！！,荒井チェリー,『未確認で進行形』,（夜ノ森紅緒）","優しい・・・！！,荒井チェリー,『未確認で進行形』,（夜ノ森紅緒）"
102,jpg,103,"・・・・・（固）,中原アヤ,『ラブ★コン』,（小泉リサ）","・・・・・（固）,中原アヤ,『ラブ★コン』,（小泉リサ）"
103,jpg,104,・・・・・・,・・・・・・
104,jpg,105,"あぜん・・・,中原アヤ,『ラブ★コン』,（小泉リサ）","あぜん・・・,中原アヤ,『ラブ★コン』,（小泉リサ）"
105,jpg,106,"………,宮原るり,『恋愛ラボ』,（榎本結子）","………,宮原るり,『恋愛ラボ』,（榎本結子）"
106,jpg,107,"・・・・・・,鳴見なる＋唐花見コウ,『JA,～女子によるアグリカルチャー～』,（野沢りんご）","・・・・・・,鳴見なる＋唐花見コウ,『JA,～女子によるアグリカルチャー～』,（野沢りんご）"
107,jpg,108,"・・・・・・・・・・・・・・・・・・・・・・,北崎拓,『このSを、見よ！クピドの悪戯』,（泉宮千鶴）","・・・・・・・・・・・・・・・・・・・・・・,北崎拓,『このSを、見よ！クピドの悪戯』,（泉宮千鶴）"
108,jpg,109,"・・・・・・,椿いづみ,『月刊少女野崎くん』,（佐倉千代）","・・・・・・,椿いづみ,『月刊少女野崎くん』,（佐倉千代）"
109,jpg,110,・・・・・・・・・・・・。,・・・・・・・・・・・・。
110,jpg,111,"・・・・・・・・・・・,あっと,『のんのんびより』,（越谷小鞠）","・・・・・・・・・・・,あっと,『のんのんびより』,（越谷小鞠）"
111,jpg,112,"・・・・・・・・・・・・,あっと,『のんのんびより』,（越谷夏海）","・・・・・・・・・・・・,あっと,『のんのんびより』,（越谷夏海）"
112,jpg,113,"・・・・・・・・・・,北崎拓,『このSを、見よ！クピドの悪戯』,（泉宮千鶴）","・・・・・・・・・・,北崎拓,『このSを、見よ！クピドの悪戯』,（泉宮千鶴）"
113,jpg,114,"・・・・・・ふーん・・・,アルコ×河原和音,『俺物語!!』,（大和凜子）","・・・・・・ふーん・・・,アルコ×河原和音,『俺物語!!』,（大和凜子）"
114,jpg,115,なにそれ,なにそれ
115,jpg,116,・・・・・・・・・・・,・・・・・・・・・・・
116,jpg,117,"・・・・・・・・・・・・,古味直志,『ニセコイ』,（桐崎千棘）","・・・・・・・・・・・・,古味直志,『ニセコイ』,（桐崎千棘）"
117,jpg,118,"・・・・・・・・・・・・,古味直志,『ニセコイ』,（桐崎千棘）","・・・・・・・・・・・・,古味直志,『ニセコイ』,（桐崎千棘）"
118,jpg,119,"・・・・・・・・・・・・・・,古味直志,『ニセコイ』,（小野寺小咲）","・・・・・・・・・・・・・・,古味直志,『ニセコイ』,（小野寺小咲）"
119,jpg,120,"・・・・・・・・・・・・・・・,中原アヤ,『ラブ★コン』,（小泉リサ）","・・・・・・・・・・・・・・・,中原アヤ,『ラブ★コン』,（小泉リサ）"
120,jpg,121,"・・・・・・・・・（呆れ）,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（由比ヶ浜結衣＆雪ノ下雪乃）","・・・・・・・・・（呆れ）,佳月玲茅,『やはり俺の青春ラブコメはまちがっている。-妄言録-』,（由比ヶ浜結衣＆雪ノ下雪乃）"
121,jpg,122,"・・・・・・・・・・・・・・・・・。,TVアニメ『ガンダムビルドファイターズ』,（イオリ・セイ）","・・・・・・・・・・・・・・・・・。,TVアニメ『ガンダムビルドファイターズ』,（イオリ・セイ）"
122,jpg,123,"無表情を保持（キープ）,板垣恵介,『範馬刃牙』,（範馬勇次郎）","無表情を保持（キープ）,板垣恵介,『範馬刃牙』,（範馬勇次郎）"
123,jpg,124,"おのれ～,幸田ももこ,『ヒロイン失格』,（松崎はとり）","おのれ～,幸田ももこ,『ヒロイン失格』,（松崎はとり）"
124,jpg,125,"…なにしてるんだい…？,鈴見敦,『東京レイヴンズ』,（土御門夏目）","…なにしてるんだい…？,鈴見敦,『東京レイヴンズ』,（土御門夏目）"
125,jpg,126,"うるせぇ！！,ヒロユキ,『アホガール』,（阿久津明）","うるせぇ！！,ヒロユキ,『アホガール』,（阿久津明）"
126,jpg,127,"うざっ,久保ミツロウ,『アゲイン!!』,（安倍珠貴）","うざっ,久保ミツロウ,『アゲイン!!』,（安倍珠貴）"
127,jpg,128,"いらない,春野友矢,『魔王様ちょっとそれとって!!』,（魔王）","いらない,春野友矢,『魔王様ちょっとそれとって!!』,（魔王）"
128,jpg,129,"あれーなんだーイラっとする空気を感じるぞー,宮原るり,『僕らはみんな河合荘』,（錦野麻弓）","あれーなんだーイラっとする空気を感じるぞー,宮原るり,『僕らはみんな河合荘』,（錦野麻弓）"
129,jpg,130,"イラッ,藤村真理,『きょうは会社休みます』,（青石花笑）","イラッ,藤村真理,『きょうは会社休みます』,（青石花笑）"
130,jpg,131,"１位と２位じゃ雲泥の差じゃろが！！,ヨシノサツキ,『ばらかもん』,（山村美和＆新井珠子）","１位と２位じゃ雲泥の差じゃろが！！,ヨシノサツキ,『ばらかもん』,（山村美和＆新井珠子）"
131,jpg,132,"この未熟者ーッ！,小花美穂,『こどものおもちゃ』,（倉田実紗子）","この未熟者ーッ！,小花美穂,『こどものおもちゃ』,（倉田実紗子）"
132,jpg,133,"ゴゴゴゴゴゴ・・・・・,荒井チェリー,『未確認で進行形』,（夜ノ森紅緒）","ゴゴゴゴゴゴ・・・・・,荒井チェリー,『未確認で進行形』,（夜ノ森紅緒）"
133,jpg,134,"つべこべ言わず、ケツを出せ！,久米田康治,『じょしらく』,（空琉美遊亭丸京）","つべこべ言わず、ケツを出せ！,久米田康治,『じょしらく』,（空琉美遊亭丸京）"
134,jpg,135,"クズ野郎,古味直志,『ニセコイ』,（宮本るり）","クズ野郎,古味直志,『ニセコイ』,（宮本るり）"
135,jpg,136,"クギとかバットとかないかな？,あずまきよひこ,『あずまんが大王』,（美浜ちよ＆水原暦）","クギとかバットとかないかな？,あずまきよひこ,『あずまんが大王』,（美浜ちよ＆水原暦）"
136,jpg,137,"グーで殴っていいよね？,小林立,『咲-Saki-』,（宮永咲）","グーで殴っていいよね？,小林立,『咲-Saki-』,（宮永咲）"
137,jpg,138,"お前荒馬で引きずり回すぞ！,篠原健太,『SKET,DANCE』,（バイキング小峠）","お前荒馬で引きずり回すぞ！,篠原健太,『SKET,DANCE』,（バイキング小峠）"
138,jpg,139,"くっ…ドヤ顔が目に浮かぶ…！,附田祐斗×佐伯俊,『食戟のソーマ』,（薙切えりな）","くっ…ドヤ顔が目に浮かぶ…！,附田祐斗×佐伯俊,『食戟のソーマ』,（薙切えりな）"
139,jpg,140,"どないなっとんねん!!!!,篠原健太,『SKET,DANCE』,（ヒメコ/鬼塚一愛）","どないなっとんねん!!!!,篠原健太,『SKET,DANCE』,（ヒメコ/鬼塚一愛）"
140,jpg,141,"どこまで私を馬鹿にすれば気がすむんですか,春野友矢,『ディーふらぐ！』,（柴崎芦花）","どこまで私を馬鹿にすれば気がすむんですか,春野友矢,『ディーふらぐ！』,（柴崎芦花）"
141,jpg,142,"てめえらの血はなに色だーっ！！,武論尊×原哲夫,『北斗の拳』,（レイ）","てめえらの血はなに色だーっ！！,武論尊×原哲夫,『北斗の拳』,（レイ）"
142,jpg,143,つまらない！！あんたたち死になさい！！,つまらない！！あんたたち死になさい！！
143,jpg,144,"よっしゃ,ほなアタシちょおしばいてくるわ,篠原健太,『SKET,DANCE』,（ヒメコ/鬼塚一愛）","よっしゃ,ほなアタシちょおしばいてくるわ,篠原健太,『SKET,DANCE』,（ヒメコ/鬼塚一愛）"
144,jpg,145,"チッ,あっと,『のんのんびより』,（越谷夏海）","チッ,あっと,『のんのんびより』,（越谷夏海）"
145,jpg,146,"だから・・・？何？,青山剛昌,『名探偵コナン』,（灰原哀）","だから・・・？何？,青山剛昌,『名探偵コナン』,（灰原哀）"
146,jpg,147,"そんなことくらいで、怒ったりはしませんよ,柊暁生,『はたらく魔王さま！』,（芦屋四郎/アルシエル）","そんなことくらいで、怒ったりはしませんよ,柊暁生,『はたらく魔王さま！』,（芦屋四郎/アルシエル）"
147,jpg,148,"そいつ、燃やすから,水薙竜,『ウィッチクラフトワークス』,（火々里綾火）","そいつ、燃やすから,水薙竜,『ウィッチクラフトワークス』,（火々里綾火）"
148,jpg,149,"ずるいぞチクショウ！！,冨樫義博,『HUNTER×HUNTER』,（ゴン＝フリークス）","ずるいぞチクショウ！！,冨樫義博,『HUNTER×HUNTER』,（ゴン＝フリークス）"
149,jpg,150,ズルいぞーッ！！,ズルいぞーッ！！
150,jpg,151,"スカしてんじゃねえぞ、コラ！,久保ミツロウ,『アゲイン!!』,（藤枝暁）","スカしてんじゃねえぞ、コラ！,久保ミツロウ,『アゲイン!!』,（藤枝暁）"
151,jpg,152,"シャラップ！,なもり,『ゆるゆり』,（歳納京子）","シャラップ！,なもり,『ゆるゆり』,（歳納京子）"
152,jpg,153,なるほど、シベリア送りだ,なるほど、シベリア送りだ
